,admin_id,gid,admin_name,ctry_id,ctry_name,prod.barley.sum,prod.cabbage.sum,prod.carrot.sum,prod.chickpea.sum,prod.cotton.sum,prod.cowpea.sum,prod.groundnut.sum,prod.maize.sum,prod.millet.sum,prod.oats.sum,prod.onion.sum,prod.pigeonpea.sum,prod.rapeseed.sum,prod.rice.sum,prod.rye.sum,prod.sorghum.sum,prod.soybean.sum,prod.sugarbeet.sum,prod.sunflower.sum,prod.sweetpotato.sum,prod.tobacco.sum,prod.tomato.sum,prod.wheat.sum,prod.whitepotato.sum,prod.yam.sum,prod.rank.1,prod.rank.2,prod.rank.3,prod.rank.4,prod.rank.5,prod.sums,prod.barley.prop,prod.cabbage.prop,prod.carrot.prop,prod.chickpea.prop,prod.cotton.prop,prod.cowpea.prop,prod.groundnut.prop,prod.maize.prop,prod.millet.prop,prod.oats.prop,prod.onion.prop,prod.pigeonpea.prop,prod.rapeseed.prop,prod.rice.prop,prod.rye.prop,prod.sorghum.prop,prod.soybean.prop,prod.sugarbeet.prop,prod.sunflower.prop,prod.sweetpotato.prop,prod.tobacco.prop,prod.tomato.prop,prod.wheat.prop,prod.whitepotato.prop,prod.yam.prop,prod.sumprops
176,1575,38147,Balaka,142,MALAWI,0,158.6632606,0,195.8306491,357.8977065,305.4088807,119.5609827,1877.77018,20.75464183,0,129.3303239,438.0010266,0,86.53156853,0,64.64937615,0,0,18.85366318,0,101.1502547,197.9545779,6.301321352,9193.975494,0,whitepotato,maize,pigeonpea,cotton,cowpea,13272.63391,0,0.011954165,0,0.014754468,0.026965085,0.02301042,0.009008083,0.141476831,0.001563717,0,0.009744134,0.033000309,0,0.006519548,0,0.004870878,0,0,0.001420491,0,0.007620963,0.014914491,0.00047476,0.692701657,0,1
177,1576,38335,Blantyre,142,MALAWI,0,154.1571107,0,190.2689164,102.4270142,296.7350411,529.9144626,24848.95876,133.0490552,0,125.6572484,425.5614839,0,164.5646355,0,222.3753357,0,0,16.16348155,0,517.470191,192.3325269,3.519810863,8932.85997,0,maize,whitepotato,groundnut,tobacco,pigeonpea,36856.01504,0,0.004182685,0,0.005162493,0.002779113,0.008051197,0.014377964,0.674217186,0.003609969,0,0.00340941,0.011546595,0,0.004465069,0,0.006033624,0,0,0.000438557,0,0.014040319,0.005218484,9.55E-05,0.242371834,0,1
178,1577,38600,Chikwawa,142,MALAWI,0,1385.905262,0,1710.558066,921.0889935,2667.711354,2986.313669,28686.39924,707.3696244,0,1130.122477,3825.888466,0,1611.227671,0,1409.541662,0,0,116.6267287,5.924500942,897.7558408,1729.85392,53.38952806,80313.98096,0,whitepotato,maize,pigeonpea,groundnut,cowpea,130159.658,0,0.010647733,0,0.013141999,0.007076609,0.020495685,0.022943466,0.220393935,0.00543463,0,0.008682586,0.029393812,0,0.012378856,0,0.010829328,0,0,0.000896028,4.55E-05,0.006897343,0.013290246,0.000410185,0.617042041,0,1
179,1578,38324,Chiradzulu,142,MALAWI,0,28.15403515,0,34.74921012,18.70646024,54.19334257,727.1281834,20784.66963,516.9535786,0,22.94904619,77.72118556,0,821.818079,0,1712.819945,0,0,3.34905991,0,214.9603157,35.12609041,1.37355572,1631.426884,0,maize,sorghum,whitepotato,rice,groundnut,26686.0986,0,0.001055008,0,0.001302147,0.000700981,0.002030771,0.027247452,0.77885756,0.019371643,0,0.000859963,0.002912422,0,0.030795737,0,0.064183977,0,0,0.000125498,0,0.008055142,0.001316269,5.15E-05,0.06113396,0,1
180,1579,37210,Chitipa,142,MALAWI,0,1113.972591,0,1374.924298,1041.129977,2144.2716,2053.181545,39279.46453,1533.271695,0,908.0264666,3075.199291,0,796.5371082,0,53.11705359,0,0,159.2849182,0,2106.546338,1389.836386,110.830908,64550.77702,0,whitepotato,maize,pigeonpea,cowpea,tobacco,121690.3717,0,0.009154156,0,0.011298546,0.008555566,0.017620717,0.016872177,0.322782024,0.012599778,0,0.007461777,0.025270687,0,0.006545605,0,0.000436493,0,0,0.001308936,0,0.017310707,0.011421088,0.000910762,0.530450981,0,1
181,1580,37979,Dedza,142,MALAWI,0,912.2260368,0,1125.917941,932.4812517,1755.932225,3124.077013,53512.22548,190.8814776,0,743.5778666,2518.263788,0,78.96518749,0,251.1358873,0,0,108.1830238,0,2728.271046,1138.12938,20.82851179,52860.27582,0,maize,whitepotato,groundnut,tobacco,pigeonpea,122001.3719,0,0.007477179,0,0.009228732,0.007643203,0.014392725,0.025606901,0.438619867,0.001564585,0,0.006094832,0.020641274,0,0.000647248,0,0.002058468,0,0,0.000886736,0,0.022362626,0.009328824,0.000170724,0.433276077,0,1
182,1581,37777,Dowa,142,MALAWI,0,663.7465075,0,819.231311,824.0173557,1277.637184,3137.421528,55506.60446,101.1814825,0,541.0361181,1832.318705,0,607.1717561,0,74.77331772,0,0,79.4827164,0,3817.665929,828.1164936,23.28186799,38461.76565,0,maize,whitepotato,tobacco,groundnut,pigeonpea,108595.4524,0,0.006112102,0,0.007543882,0.007587955,0.011765108,0.028890911,0.511131942,0.000931729,0,0.004982125,0.016872886,0,0.005591134,0,0.000688549,0,0,0.000731916,0,0.035154934,0.007625701,0.000214391,0.354174736,0,1
183,1582,37248,Karonga,142,MALAWI,0,254.5391167,0,314.1657362,230.7792648,489.9590967,2122.098565,27373.98183,603.1903906,0,207.4811012,702.6730521,0,5131.253685,0,24.23312302,0,0,36.48614329,0,1467.715441,317.5731088,27.14246573,14749.64271,0,maize,whitepotato,rice,groundnut,tobacco,54052.91482,0,0.004709073,0,0.005812189,0.004269506,0.009064434,0.039259651,0.506429337,0.011159257,0,0.003838481,0.012999725,0,0.094930194,0,0.000448322,0,0,0.000675008,0,0.027153308,0.005875226,0.000502146,0.272874141,0,1
184,1583,37753,Kasungu,142,MALAWI,1.129291624,3251.27239,0,4012.893512,5934.880726,6258.332606,6532.858779,108121.7576,653.3198509,0,2664.874571,8975.36501,0,5030.679473,0,70.1597985,14.10624838,0,410.1779406,37.25173283,7842.732957,4069.917615,218.8728603,188402.2672,0,whitepotato,maize,pigeonpea,tobacco,groundnut,352502.8502,3.20E-06,0.009223393,0,0.011384003,0.016836405,0.017753992,0.018532783,0.30672591,0.001853375,0,0.007559867,0.025461823,0,0.014271316,0,0.000199033,4.00E-05,0,0.001163616,0.000105678,0.022248708,0.011545772,0.000620911,0.534470195,0,1
185,1584,37490,Likoma,142,MALAWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,barley,cabbage,carrot,chickpea,cotton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
